ID_code;id_name;Sartoretto_TS_group;Sartoretto_TS_group_etendu;Sartoretto_CS_group;Sartoretto_CS_group_etendu;Taxon_level;ID_major_category;major_category;gender_name;Species;Gender;Family;Order;Class;Phylum;Not_concerned;major_builders_old;Builders_all;Builders_nobryo;LSP;PSP;MSP;AXSP;COSP
CLCL;Clathrina clathrus;;;basal;basal;Species;S;Sponge;Clathrina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLDE;Clavelina dellavallei;4;4;intermediate;intermediate;Species;AS;Ascidians;Clavelina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLIO;Cliona sp;1;1;basal;basal;Gender;S;Sponge;Cliona;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
CLLE;Clavelina lepadoformis;4;4;intermediate;intermediate;Species;AS;Ascidians;Clavelina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CLPI;Cladocora caespitosa;;2;basal;basal;Species;SCL;Scleractinia;Cladocora;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0
CLSP;Clathrina sp;;;basal;basal;Gender;S;Sponge;Clathrina;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
CLVI;Cliona viridis;1;1;basal;basal;Species;S;Sponge;Cliona;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COBU;Codium bursa;;;;basal;Species;GM;Green macroalgae;Codium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COCA;Corticium candelabrum;;;basal;basal;Species;S;Sponge;Corticium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COCO;Codium coralloides;3;3;;basal;Species;GM;Green macroalgae;Codium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COEF;Codium effusum;3;3;;basal;Species;GM;Green macroalgae;Codium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COEL;Corallina elongata;;;intermediate;intermediate;Species;EMA;Erected red macroalgae;Corallina;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CORA;Non identified corallinacea;1;1;basal;basal;Class;CMA;Encrusting red macroalgae;NC;0;0;0;0;5;0;0;1;1;1;0;0;0;0;0
CORC;Cornularia cornucopiae;;;;basal;Species;ST;Stolonifera;Cornularia;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CORM;Corallimorpharia;;;;intermediate;Order;CO;Corallimorpharia;NC;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
CORU;Corallium rubrum;2;2;upper;upper;Species;G;Gorgonian;Corallium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COVE;Codium vermilara;;3;;intermediate;Species;GM;Green macroalgae;Codium;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
COVI;Corynactis viridis;;;;basal;Species;CO;Corallimorpharia;Corynactis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRAM;Crambe crambe;3;3;basal;basal;Species;S;Sponge;Crambe;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRCR;Cribrinopsis crassa;;;basal;basal;Species;A;Actiniaria;Cribrinopsis;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CREL;Crella elegans;;4;intermediate;intermediate;Species;S;Sponge;Crella;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CRIN;Crinoidian;;;;basal;Class;CR;Crinoidian;NC;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0
